COUNTY,BEACH_OR_CITY_NAME,ACCESS_NAME,LOCATION_ADDRESS,ACCESS_SIGN,ENTRANCE_FEE,ENTRANCE_FEE_AMOUNT,PARKING_FEE,PARKING_FEE_AMOUNT,REGULAR_PARKING,NUMBER_OF_SPACES,ADA_PARKING,ADA_SPACES,LIFEGUARD,RESTROOM,SHOWER,ADA_ACCESSIBLE,BOARDWALK_TRAIL,SITE_ID,ACCESS_STATUS,BEACH_NAME_AND_COUNTY,FULL_ACCESS_NAME,LAT_LON_COORDS
Monroe,Geiger Key,Boca Chica Federal Lots-East,Boca Chica Rd. (Mile marker 10),No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL345,Full Access,Geiger Key Monroe County,Geiger Key Monroe County Boca Chica Federal Lots-East Boca Chica Rd. (Mile marker 10),"24.560206, -81.683766"
Collier,Kice Island,Kice Island,South of Marco Island,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL759,Full Access,Kice Island Collier County,Kice Island Collier County Kice Island South of Marco Island,"25.877135, -81.70131"
Collier,Cape Romano Island,Cape Romano Island,South of Marco Island,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL762,Full Access,Cape Romano Island Collier County,Cape Romano Island Collier County Cape Romano Island South of Marco Island,"25.848138, -81.68327"
Collier,Naples,Central Ave.,Central Ave. & Gulf Shore Blvd. N,Yes,No,0.0,Yes,0.0,Yes,6,No,0.0,No,No,No,No,Yes,FL728,Full Access,Naples Collier County,Naples Collier County Central Ave. Central Ave. & Gulf Shore Blvd. N,"26.145994, -81.807303"
Collier,Naples,1st Ave. North,1st Ave. N & Gulf Shore Blvd. N,Yes,No,0.0,Yes,0.0,Yes,11,No,0.0,No,No,No,No,Yes,FL729,Full Access With Parking,Naples Collier County,Naples Collier County 1st Ave. North 1st Ave. N & Gulf Shore Blvd. N,"26.147081, -81.807687"
Collier,Naples,2nd Ave. North,2nd Ave. N & Guld Shore Blvd. N,Yes,No,0.0,Yes,0.0,Yes,12,No,0.0,No,No,Yes,No,Yes,FL730,Full Access With Parking,Naples Collier County,Naples Collier County 2nd Ave. North 2nd Ave. N & Guld Shore Blvd. N,"26.148167, -81.80775"
Manatee,Bradenton Beach,Coquina Park,"Southern end of Anna Maria Island, one mile south of 5th Street N.",No,No,0.0,No,0.0,Yes,100,No,0.0,No,Yes,Yes,No,No,FL407,Full Access With Parking,Bradenton Beach Manatee County,"Bradenton Beach Manatee County Coquina Park Southern end of Anna Maria Island, one mile south of 5th Street N.","27.451334, -82.692001"
Manatee,Bradenton Beach,Coquina Beach,"Coquina Cortez Beach, 4th St. south to Longboat Pass",Yes,No,0.0,No,0.0,Yes,100,Yes,25.0,Yes,Yes,Yes,Yes,Yes,FL408,Full Access With Parking,Bradenton Beach Manatee County,"Bradenton Beach Manatee County Coquina Beach Coquina Cortez Beach, 4th St. south to Longboat Pass","27.462454, -82.697864"
Manatee,Bradenton Beach,3rd St. S,3rd St. S & Gulf Dr. S,No,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,No,FL410,Full Access,Bradenton Beach Manatee County,Bradenton Beach Manatee County 3rd St. S 3rd St. S & Gulf Dr. S,"27.46438182, -82.69834323"
Lee,Ft. Meyers Beach,Miramar St. Access 31,Miramar St. and Estero Blvd.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL499,Limited Access,Ft. Meyers Beach Lee County,Ft. Meyers Beach Lee County Miramar St. Access 31 Miramar St. and Estero Blvd.,"26.45028611, -81.94849722"
Lee,Ft. Meyers Beach,Ave E  Access 32,Avenue E & Estero Blvd.,Yes,No,0.0,No,0.0,Yes,1,No,0.0,No,No,No,No,Yes,FL498,Limited Access,Ft. Meyers Beach Lee County,Ft. Meyers Beach Lee County Ave E  Access 32 Avenue E & Estero Blvd.,"26.45064167, -81.94922222"
Manatee,Holmes Beach,38th St.,38th St.& Gulf Dr.,Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL422,Full Access,Holmes Beach Manatee County,Holmes Beach Manatee County 38th St. 38th St.& Gulf Dr.,"27.495682, -82.711341"
Manatee,Anna Maria,Anna Maria Island Gulf Front Park,Magnolia Ave. & Gulf Dr.,Yes,No,0.0,No,0.0,No,0,Yes,4.0,No,No,No,Yes,Yes,FL370,Full Access,Anna Maria Manatee County,Anna Maria Manatee County Anna Maria Island Gulf Front Park Magnolia Ave. & Gulf Dr.,"27.523233, -82.734191"
Manatee,Anna Maria,Park Ave.,"Park Ave., West of Gulf Dr.",Yes,No,0.0,No,0.0,No,0,No,0.0,No,No,No,No,Yes,FL364,Limited Access,Anna Maria Manatee County,"Anna Maria Manatee County Park Ave. Park Ave., West of Gulf Dr.","27.520831, -82.730674"
